UNDER_CONSTRUCTION,RERA,BHK_NO.,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS),POSTED_BY_0,POSTED_BY_1,POSTED_BY_Builder,BHK_OR_RK_0,BHK_OR_RK_1
0,0,2,1300,1,1,12,77,55,1,0,0,1,0
0,0,2,1275,1,1,12,76,51,0,1,0,1,0
0,0,2,933,1,1,12,77,43,1,0,0,1,0
0,1,2,929,1,1,28,77,62,1,0,0,1,0
1,0,2,999,0,1,22,88,60,0,1,0,1,0
0,0,3,1250,1,1,10,76,42,1,0,0,1,0
0,0,3,1495,1,1,26,75,66,0,1,0,1,0
0,1,3,1181,1,1,30,76,52,1,0,0,1,0
0,1,2,1040,1,1,13,77,41,0,1,0,1,0
0,1,2,879,1,1,12,80,36,1,0,0,1,0
0,0,3,1350,1,1,26,88,35,1,0,0,1,0
0,0,2,1333,1,1,13,77,110,0,1,0,1,0
0,0,2,927,1,1,12,77,48,1,0,0,1,0
0,1,2,1122,1,1,28,77,62,1,0,0,1,0
0,0,1,649,1,1,13,77,20,1,0,0,1,0
1,1,3,1394,0,1,28,77,71,0,1,0,1,0
0,0,3,1800,1,1,20,85,85,1,0,0,1,0
1,1,3,2124,0,1,12,77,180,0,1,0,1,0
0,0,2,1100,1,1,21,79,22,1,0,0,1,0
0,1,3,2178,1,1,13,77,120,0,1,0,1,0
0,0,2,881,1,1,13,80,45,1,0,0,1,0
0,0,2,944,1,1,18,73,42,0,1,0,1,0
0,1,3,1310,1,1,28,77,55,0,1,0,1,0
0,0,1,630,1,1,19,72,300,0,1,0,1,0
0,0,2,1219,1,1,21,79,50,0,1,0,1,0
0,0,2,780,1,1,22,88,27,1,0,0,1,0
0,0,3,1600,1,1,28,77,46,1,0,0,1,0
0,0,2,1180,1,1,30,76,22,0,1,0,1,0
1,0,2,1000,0,1,24,86,39,1,0,0,1,0
0,0,2,1000,1,1,28,76,12,0,1,0,1,0
0,0,3,1400,1,1,28,77,52,0,1,0,1,0
0,1,2,943,1,1,28,77,33,0,1,0,1,0
0,0,2,1150,1,1,26,74,55,1,0,0,1,0
1,1,1,864,0,1,19,72,82,0,1,0,1,0
0,1,2,857,1,0,19,72,240,0,1,0,1,0
0,0,3,1174,1,1,12,80,55,1,0,0,1,0
1,1,2,1020,0,1,18,73,65,0,1,0,1,0
0,0,4,1650,1,1,22,72,65,1,0,0,1,0
1,0,2,1000,0,1,17,83,35,0,1,0,1,0
0,0,3,1300,1,1,12,77,75,1,0,0,1,0
1,1,1,40606,0,0,24,78,9110,0,1,0,1,0
0,1,2,1058,1,1,18,73,65,0,1,0,1,0
1,0,1,400,0,1,18,73,30,0,1,0,1,0
0,1,3,1274,1,1,22,83,250,0,1,0,1,0
0,0,2,1026,1,1,19,72,220,0,1,0,1,0
0,0,2,1150,1,1,20,72,38,1,0,0,1,0
0,0,3,1200,1,1,28,77,60,1,0,0,1,0
0,0,1,475,1,1,24,78,46,0,1,0,0,1
1,1,1,301,0,0,24,78,26,0,0,1,1,0
1,1,2,1228,0,1,12,74,51,0,1,0,1,0
0,0,2,986,1,1,13,80,55,1,0,0,1,0
1,1,3,1972,0,1,28,77,71,0,1,0,1,0
1,1,1,420,0,1,19,72,130,0,1,0,1,0
0,0,3,1275,1,1,25,71,32,1,0,0,1,0
1,1,1,406,0,0,19,73,39,0,1,0,1,0
0,0,3,1862,1,1,28,77,59,0,1,0,1,0
0,0,2,950,1,1,19,75,65,1,0,0,1,0
0,1,4,5200,1,1,28,77,110,1,0,0,1,0
0,0,2,1049,1,1,12,77,68,0,1,0,1,0
0,0,3,1615,1,1,22,88,99,0,1,0,1,0
0,0,3,1150,1,1,19,72,250,0,1,0,1,0
0,0,2,1100,1,1,26,75,27,1,0,0,1,0
1,1,2,906,0,0,24,78,70,0,1,0,1,0
0,0,3,1454,1,1,10,76,50,1,0,0,1,0
0,0,3,1591,1,1,28,77,70,1,0,0,1,0
0,1,2,573,1,1,28,77,22,0,1,0,1,0
0,1,3,1038,1,1,19,72,280,0,1,0,1,0
0,0,3,1538,1,1,13,77,74,1,0,0,1,0
0,0,2,5000,1,1,26,75,85,1,0,0,1,0
0,0,3,1602,1,1,28,77,49,0,1,0,1,0
0,0,2,1200,1,1,16,80,45,1,0,0,1,0
0,0,2,760,1,1,15,74,60,1,0,0,1,0
1,0,2,739,0,1,23,77,30,1,0,0,1,0
0,0,2,1260,1,1,13,74,33,1,0,0,1,0
0,0,2,1100,1,1,21,79,29,1,0,0,1,0
0,1,3,2293,1,1,18,73,210,0,1,0,1,0
0,0,2,1146,1,1,19,72,88,0,1,0,1,0
0,1,4,2224,1,1,19,72,780,0,1,0,1,0
0,0,2,759,1,1,22,88,30,0,1,0,1,0
0,0,4,2260,1,1,12,77,140,1,0,0,1,0
0,0,3,767,1,1,20,80,240,0,1,0,1,0
0,0,4,2500,1,1,28,77,160,1,0,0,1,0
1,1,4,2286,0,1,21,77,100,0,1,0,1,0
0,1,2,1150,1,1,28,77,60,1,0,0,1,0
0,1,2,1004,1,1,18,73,81,0,1,0,1,0
0,0,2,800,1,1,22,88,34,1,0,0,1,0
1,0,3,993,0,1,26,88,31,0,1,0,1,0
0,0,2,1298,1,1,23,77,30,0,1,0,1,0
0,1,2,996,1,1,26,75,24,0,1,0,1,0
0,0,2,985,1,1,12,77,48,1,0,0,1,0
0,0,3,1118,1,1,12,80,53,0,1,0,1,0
0,1,2,889,1,1,28,77,42,0,1,0,1,0
0,0,3,2738,1,1,12,77,150,1,0,0,1,0
1,1,4,1725,0,0,19,72,440,0,1,0,1,0
1,1,3,2488,0,1,30,76,140,0,1,0,1,0
0,0,3,1200,1,1,23,88,58,0,1,0,1,0
0,0,2,1584,1,1,26,79,100,0,1,0,1,0
0,0,2,900,1,1,23,72,18,1,0,0,1,0
0,1,2,1193,1,1,18,74,60,0,1,0,1,0
0,0,2,1487,1,1,26,75,30,1,0,0,1,0
1,1,2,989,0,1,28,77,50,1,0,0,1,0
0,0,2,1155,1,1,19,72,140,0,1,0,1,0
0,0,2,949,1,1,11,79,80,1,0,0,1,0
0,0,2,875,1,1,28,77,49,1,0,0,1,0
0,0,2,853,1,1,12,77,24,0,1,0,1,0
0,0,1,483,1,1,18,73,18,1,0,0,1,0
0,0,2,800,1,1,19,72,95,0,1,0,1,0
0,0,2,802,1,1,28,77,22,1,0,0,1,0
0,1,2,610,1,1,13,80,48,0,1,0,1,0
0,0,3,1680,1,1,28,78,75,1,0,0,1,0
0,0,2,1150,1,1,19,79,93,1,0,0,1,0
0,0,3,1550,1,1,28,77,88,1,0,0,1,0
0,0,5,1699,1,1,28,77,82,1,0,0,1,0
1,0,3,1600,0,1,9,76,75,1,0,0,1,0
0,0,1,600,1,1,18,73,21,1,0,0,1,0
0,1,2,1429,1,1,30,76,64,0,1,0,1,0
0,0,2,1115,1,1,13,77,80,1,0,0,1,0
0,0,4,2750,1,1,27,77,74,0,1,0,1,0
0,0,3,1811,1,1,23,85,99,1,0,0,1,0
0,0,2,1045,1,1,22,88,42,1,0,0,1,0
0,0,3,3433,1,1,28,77,340,0,1,0,1,0
0,0,3,1298,1,1,12,77,70,1,0,0,1,0
1,1,2,1109,0,1,13,74,38,1,0,0,1,0
1,1,4,1304,0,0,18,72,470,0,1,0,1,0
0,1,2,1041,1,1,28,77,46,0,1,0,1,0
0,0,3,2135,1,1,28,77,83,0,1,0,1,0
0,1,3,1850,1,1,28,77,82,1,0,0,1,0
0,0,3,1665,1,1,23,72,70,0,1,0,1,0
0,1,2,398,1,1,26,80,11,1,0,0,1,0
0,0,2,1005,1,1,12,77,48,1,0,0,1,0
0,1,4,4900,1,1,18,73,240,0,1,0,1,0
0,1,2,1294,1,1,19,72,330,0,1,0,1,0
0,1,3,1536,1,1,28,77,100,0,1,0,1,0
0,0,2,1123,1,1,12,77,62,1,0,0,1,0
0,0,2,800,1,1,26,75,16,0,1,0,1,0
0,1,4,2655,1,1,19,72,300,0,1,0,1,0
0,0,3,1513,1,1,12,77,100,0,1,0,1,0
0,0,3,1280,1,1,9,76,48,1,0,0,1,0
0,0,1,410,1,1,28,77,14,1,0,0,1,0
0,0,4,3429,1,1,22,72,100,0,1,0,1,0
0,0,2,890,1,1,28,77,65,0,1,0,1,0
0,0,2,977,1,1,22,75,25,1,0,0,1,0
0,0,2,1099,1,1,12,77,38,0,1,0,1,0
1,0,2,1050,0,1,26,73,37,1,0,0,1,0
0,1,3,1400,1,1,26,75,57,0,1,0,1,0
0,0,3,1740,1,1,19,73,180,0,1,0,1,0
0,1,2,1149,1,1,24,78,180,0,1,0,1,0
0,0,2,650,1,1,11,76,20,0,1,0,1,0
0,0,2,1355,1,1,26,75,85,1,0,0,1,0
0,0,3,1800,1,1,12,77,150,0,1,0,1,0
0,1,2,907,1,1,21,74,33,0,1,0,1,0
0,0,3,1636,1,1,13,77,88,0,1,0,1,0
0,0,2,900,1,1,22,73,25,1,0,0,1,0
0,0,2,1318,1,1,12,77,100,1,0,0,1,0
0,1,3,1949,1,1,30,76,99,0,1,0,1,0
0,0,3,1643,1,1,9,76,67,0,1,0,1,0
0,0,3,1233,1,1,18,72,210,0,1,0,1,0
0,0,1,655,1,1,18,73,49,0,1,0,1,0
0,0,2,1180,1,1,12,77,75,1,0,0,1,0
0,0,3,1200,1,1,28,77,55,1,0,0,1,0
0,0,4,6974,1,1,22,88,1700,0,1,0,1,0
1,1,4,2700,0,1,28,77,250,1,0,0,1,0
0,0,2,850,1,1,26,75,30,1,0,0,1,0
1,1,4,2636,0,1,12,77,250,0,1,0,1,0
0,0,2,900,1,1,12,77,55,1,0,0,1,0
1,0,4,2472,0,1,18,73,160,0,1,0,1,0
0,0,2,904,1,1,20,79,50,0,1,0,1,0
1,1,1,265,0,1,19,72,82,0,1,0,1,0
1,1,3,1570,0,1,26,75,110,0,1,0,1,0
0,0,2,955,1,1,19,72,150,0,1,0,1,0
0,0,2,1000,1,1,28,77,60,0,1,0,1,0
0,0,4,2494,1,1,12,77,95,0,1,0,1,0
0,0,2,1150,1,1,13,80,75,1,0,0,1,0
0,0,2,1210,1,1,19,73,85,0,1,0,1,0
0,0,2,1365,1,1,19,72,200,0,1,0,1,0
1,1,2,499,0,0,19,72,110,0,1,0,1,0
0,0,2,1050,1,1,22,73,40,0,1,0,1,0
0,0,1,476,1,1,13,80,40,1,0,0,1,0
0,0,2,985,1,1,28,77,21,0,1,0,1,0
0,0,2,1045,1,1,28,77,24,0,1,0,1,0
1,1,2,1301,0,1,12,77,90,0,1,0,1,0
0,0,2,2000,1,1,28,76,38,1,0,0,1,0
1,1,4,4465,0,1,28,77,280,0,1,0,1,0
0,0,2,1192,1,1,20,85,59,0,1,0,1,0
1,0,3,1846,0,0,22,88,120,0,1,0,1,0
1,0,1,448,0,1,19,73,120,0,1,0,1,0
0,0,2,750,1,1,28,77,31,1,0,0,1,0
0,0,2,1060,1,1,19,73,72,0,1,0,1,0
0,1,3,1415,1,1,12,77,79,0,1,0,1,0
0,0,2,1160,1,1,18,72,89,0,1,0,1,0
0,0,3,1690,1,1,19,72,410,0,1,0,1,0
1,0,3,1672,0,1,28,77,68,1,0,0,1,0
0,0,2,1315,1,1,20,72,33,1,0,0,1,0
0,0,1,650,1,1,19,73,50,0,1,0,1,0
0,0,1,540,1,1,19,72,16,1,0,0,1,0
0,0,3,1830,1,1,20,79,98,0,1,0,1,0
0,0,3,1575,1,1,28,77,70,0,1,0,1,0
0,0,3,1530,1,1,12,77,76,0,1,0,1,0
0,0,2,619,1,1,12,77,26,1,0,0,1,0
0,0,4,2200,1,1,21,72,110,1,0,0,1,0
0,0,3,1757,1,1,40,-86,77,0,1,0,1,0
0,1,2,1087,1,1,19,72,140,0,1,0,1,0
0,0,2,1199,1,1,12,77,70,1,0,0,1,0
0,0,2,1265,1,1,13,77,61,1,0,0,1,0
0,0,2,676,1,1,22,88,17,0,1,0,1,0
0,0,2,800,1,1,28,77,42,1,0,0,1,0
0,0,2,750,1,1,22,88,25,1,0,0,1,0
0,1,2,1500,1,0,13,80,150,0,1,0,1,0
0,0,3,1814,1,1,20,85,88,0,1,0,1,0
0,1,3,1195,1,1,24,78,110,0,1,0,1,0
0,0,3,1395,1,1,26,75,41,0,1,0,1,0
0,0,2,850,1,1,19,72,24,1,0,0,1,0
0,0,2,909,1,1,12,80,48,0,1,0,1,0
1,0,2,910,0,1,25,83,33,1,0,0,1,0
0,0,3,1850,1,1,12,77,250,0,1,0,1,0
0,1,3,2069,1,1,28,77,160,0,1,0,1,0
0,1,2,820,1,1,19,72,140,0,1,0,1,0
0,0,2,1241,1,1,23,72,36,0,1,0,1,0
0,1,3,1014,1,0,18,73,79,0,1,0,1,0
0,0,4,2302,1,1,30,76,160,0,1,0,1,0
0,0,2,900,1,1,24,78,69,0,1,0,1,0
1,0,2,898,0,0,26,91,30,0,0,1,1,0
0,0,3,2235,1,1,26,75,190,0,1,0,1,0
0,0,3,1350,1,1,28,77,81,0,1,0,1,0
0,1,2,1100,1,1,18,73,70,0,1,0,1,0
0,1,1,612,1,1,12,80,30,0,1,0,1,0
0,0,2,1100,1,1,20,77,25,1,0,0,1,0
0,1,5,5194,1,1,28,77,400,0,1,0,1,0
0,0,3,1475,1,1,28,77,79,0,1,0,1,0
0,1,4,2780,1,1,28,77,160,0,1,0,1,0
1,0,1,300,0,0,24,78,11,0,0,1,1,0
0,0,2,1000,1,1,17,83,50,1,0,0,1,0
0,0,2,1532,1,1,19,72,230,0,1,0,1,0
1,1,2,995,0,0,22,73,21,0,1,0,1,0
0,0,3,1646,1,0,28,76,110,0,1,0,1,0
0,0,4,2350,1,1,30,76,56,0,1,0,1,0
0,0,3,534,1,1,28,77,45,1,0,0,1,0
1,1,2,1100,0,1,19,72,110,0,1,0,1,0
0,0,3,1968,1,1,26,91,88,0,1,0,1,0
0,1,3,2196,1,1,28,77,100,0,1,0,1,0
0,1,4,2400,1,1,22,70,300,0,1,0,1,0
0,0,2,1650,1,1,18,73,62,0,1,0,1,0
1,1,2,632,0,0,19,72,45,0,1,0,1,0
0,0,2,1034,1,1,26,81,37,1,0,0,1,0
0,0,2,965,1,1,18,72,90,0,1,0,1,0
1,1,2,600,0,0,24,78,45,0,0,1,1,0
0,0,2,984,1,1,19,72,130,0,1,0,1,0
0,0,3,1700,1,1,19,72,420,0,1,0,1,0
0,1,1,546,1,0,19,72,58,0,1,0,1,0
0,0,2,1195,1,1,22,72,17,0,1,0,1,0
1,1,3,1677,0,1,18,72,220,0,1,0,1,0
0,1,3,1699,1,1,28,77,48,0,1,0,1,0
0,0,2,1075,1,1,28,77,48,0,1,0,1,0
1,1,1,485,0,0,19,72,64,0,1,0,1,0
0,0,2,929,1,1,12,77,52,1,0,0,1,0
0,0,3,1438,1,1,19,72,600,0,1,0,1,0
0,0,5,5299,1,1,12,77,470,0,1,0,1,0
0,1,2,1020,1,1,13,77,46,0,1,0,1,0
0,0,2,1070,1,1,28,77,65,1,0,0,1,0
0,0,2,2400,1,1,13,79,50,1,0,0,1,0
0,0,3,1767,1,1,17,78,77,1,0,0,1,0
1,1,1,524,0,0,18,73,26,0,0,1,1,0
1,1,2,923,0,1,28,76,120,0,1,0,1,0
0,0,3,1657,1,1,12,77,100,0,1,0,1,0
0,0,2,680,1,1,19,72,170,0,1,0,1,0
0,0,2,1100,1,1,22,73,23,1,0,0,1,0
0,1,3,1701,1,0,21,81,50,0,1,0,1,0
0,0,1,451,1,1,28,77,14,1,0,0,1,0
0,0,3,2727,1,1,22,88,85,0,1,0,1,0
0,0,2,1000,1,1,18,83,30,1,0,0,1,0
0,0,3,1790,1,1,28,76,100,0,1,0,1,0
0,0,2,1100,1,1,22,88,25,1,0,0,1,0
0,1,2,1232,1,1,28,77,44,0,1,0,1,0
0,0,1,497,1,1,26,91,26,0,1,0,1,0
0,0,3,1726,1,1,12,77,95,1,0,0,1,0
1,1,3,1320,0,1,18,73,110,0,1,0,1,0
0,0,2,990,1,1,21,81,25,1,0,0,1,0
0,0,1,675,1,1,24,78,65,0,1,0,1,0
0,0,2,674,1,1,10,76,25,1,0,0,1,0
0,0,1,775,1,1,28,77,36,0,1,0,1,0
0,0,2,718,1,1,19,72,180,0,1,0,1,0
1,1,4,3200,0,1,28,77,180,0,1,0,1,0
0,1,2,945,1,1,24,80,30,1,0,0,1,0
0,1,2,1089,1,1,20,73,160,0,1,0,1,0
0,1,2,942,1,1,12,77,50,0,1,0,1,0
0,0,2,1370,1,1,19,79,82,0,1,0,1,0
0,0,2,1265,1,1,9,78,90,1,0,0,1,0
